Province,Destination,Occupation,Skill_Level,Sex,Age_Group,Mode_of_Approval,Risk_Score,Risk_Category,Injury_Probability,Illness_Probability,Injury_Occurred,Illness_Occurred,Years_Experience,Monthly_Salary_USD,Contract_Duration_Months
Lumbini,Bahrain,Construction,Unskilled,Male,25-34,Recruitment Agency,8,High,0.213,0.293,0,0,9,478,12
Gandaki,UAE,Driving,Unskilled,Male,18-24,Recruitment Agency,5,Medium,0.078,0.114,0,0,7,753,24
Province 1,Bahrain,Hospitality,Skilled,Male,25-34,Individual,0,Low,0.044,0.062,0,0,2,1353,12
Gandaki,Oman,Hospitality,Unskilled,Male,18-24,Recruitment Agency,4,Medium,0.058,0.111,0,0,1,1477,24
Province 1,Qatar,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,7,High,0.176,0.211,0,0,6,1070,24
Madhesh,Oman,Manufacturing,Unskilled,Female,18-24,Recruitment Agency,6,Medium,0.146,0.122,0,0,7,493,12
Lumbini,Bahrain,Manufacturing,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.09,0.198,0,0,7,1001,24
Province 1,Bahrain,Driving,Skilled,Male,25-34,Recruitment Agency,0,Low,0.011,0.054,0,0,1,509,12
Sudurpashchim,Qatar,Driving,Unskilled,Male,35-44,Recruitment Agency,8,High,0.187,0.272,0,0,8,481,12
Sudurpashchim,Qatar,Healthcare,Unskilled,Male,25-34,Recruitment Agency,8,High,0.193,0.294,0,1,6,533,24
Madhesh,Kuwait,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,8,High,0.261,0.299,0,0,3,890,24
Gandaki,Qatar,Manufacturing,Unskilled,Male,35-44,Regularisation,8,High,0.258,0.24,1,0,4,1185,12
Lumbini,Qatar,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,8,High,0.237,0.287,0,0,2,563,24
Karnali,UK,Cleaning,Unskilled,Male,35-44,Recruitment Agency,4,Medium,0.109,0.145,0,0,1,883,12
Karnali,Qatar,Cleaning,Skilled,Male,18-24,Recruitment Agency,5,Medium,0.11,0.129,0,0,6,1100,36
Karnali,Malaysia,Cleaning,Unskilled,Male,18-24,Recruitment Agency,6,Medium,0.078,0.11,0,0,3,866,12
Sudurpashchim,Malaysia,Cleaning,Skilled,Male,35-44,Recruitment Agency,3,Low,0.027,0.069,0,1,5,945,36
Province 1,Malaysia,Driving,Skilled,Male,25-34,Recruitment Agency,1,Low,0.022,0.061,0,0,8,1404,12
Lumbini,South Korea,Domestic Work,Skilled,Male,45+,Regularisation,2,Low,0.035,0.051,0,0,2,421,24
Province 1,South Korea,Driving,Unskilled,Male,25-34,Recruitment Agency,3,Low,0.014,0.04,0,0,9,1257,12
Lumbini,South Korea,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.053,0.161,0,1,7,783,12
Province 1,South Korea,Hospitality,Skilled,Male,45+,Recruitment Agency,0,Low,0.014,0.033,0,0,1,577,12
Karnali,Malaysia,Healthcare,Unskilled,Female,18-24,Recruitment Agency,6,Medium,0.091,0.176,0,1,2,1216,36
Sudurpashchim,Oman,Driving,Skilled,Male,25-34,Recruitment Agency,2,Low,0.048,0.059,0,0,4,457,12
Bagmati,Qatar,Manufacturing,Unskilled,Male,35-44,Recruitment Agency,8,High,0.181,0.347,0,0,5,1475,12
Karnali,Oman,Healthcare,Skilled,Male,18-24,Recruitment Agency,1,Low,0.027,0.06,0,0,5,699,12
Bagmati,Bahrain,Cleaning,Unskilled,Female,18-24,Recruitment Agency,3,Low,0.027,0.078,0,0,3,939,24
Karnali,Kuwait,Cleaning,Skilled,Female,25-34,Recruitment Agency,4,Medium,0.059,0.118,0,0,3,330,36
Lumbini,Bahrain,Manufacturing,Skilled,Male,35-44,Individual,2,Low,0.042,0.029,0,0,1,446,12
Madhesh,UAE,Healthcare,Unskilled,Male,25-34,Recruitment Agency,8,High,0.266,0.222,0,0,9,1338,12
Province 1,South Korea,Construction,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.135,0.195,0,0,4,718,24
Lumbini,Bahrain,Domestic Work,Semi-skilled,Male,18-24,Recruitment Agency,5,Medium,0.105,0.145,0,0,1,862,36
Province 1,UK,Hospitality,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.124,0.1,0,0,2,1359,12
Bagmati,Saudi Arabia,Domestic Work,Unskilled,Female,25-34,Recruitment Agency,10,High,0.168,0.285,0,1,2,1051,24
Madhesh,South Korea,Cleaning,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.077,0.157,0,0,8,387,12
Lumbini,Malaysia,Cleaning,Semi-skilled,Male,18-24,Recruitment Agency,5,Medium,0.098,0.133,0,0,7,1080,12
Province 1,UK,Hospitality,Unskilled,Female,35-44,Recruitment Agency,4,Medium,0.092,0.146,0,0,4,975,12
Sudurpashchim,UAE,Driving,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.13,0.164,0,0,7,386,24
Bagmati,UAE,Construction,Skilled,Male,25-34,Recruitment Agency,6,Medium,0.093,0.106,0,0,2,591,12
Bagmati,Japan,Driving,Unskilled,Male,25-34,Recruitment Agency,2,Low,0.033,0.039,0,0,4,639,24
Karnali,Bahrain,Hospitality,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.144,0.122,1,0,3,1232,12
Lumbini,Bahrain,Manufacturing,Unskilled,Male,35-44,Recruitment Agency,5,Medium,0.137,0.163,0,0,4,1304,12
Sudurpashchim,Bahrain,Driving,Unskilled,Male,18-24,Recruitment Agency,3,Low,0.018,0.059,0,0,5,1171,24
Sudurpashchim,Malaysia,Hospitality,Skilled,Male,25-34,Recruitment Agency,3,Low,0.048,0.033,0,0,8,319,24
Gandaki,South Korea,Cleaning,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.08,0.163,0,0,6,386,24
Bagmati,Saudi Arabia,Hospitality,Skilled,Male,18-24,Recruitment Agency,3,Low,0.012,0.055,0,0,3,587,12
Province 1,Japan,Manufacturing,Unskilled,Male,35-44,Individual,4,Medium,0.088,0.184,0,0,3,707,24
Lumbini,Japan,Manufacturing,Skilled,Male,25-34,Recruitment Agency,2,Low,0.035,0.05,0,0,1,803,12
Bagmati,Oman,Hospitality,Unskilled,Male,35-44,Recruitment Agency,4,Medium,0.11,0.19,0,1,8,897,12
Madhesh,Qatar,Cleaning,Unskilled,Male,35-44,Recruitment Agency,7,High,0.173,0.295,0,1,4,1396,12
Lumbini,South Korea,Cleaning,Skilled,Male,18-24,Recruitment Agency,1,Low,0.033,0.037,0,0,8,704,24
Madhesh,UK,Domestic Work,Unskilled,Male,18-24,Recruitment Agency,8,High,0.202,0.262,0,0,9,1484,36
Madhesh,Saudi Arabia,Hospitality,Skilled,Male,35-44,Recruitment Agency,5,Medium,0.075,0.14,0,0,6,1366,24
Madhesh,Japan,Construction,Unskilled,Male,25-34,Recruitment Agency,10,High,0.237,0.208,0,0,5,462,24
Sudurpashchim,Oman,Healthcare,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.067,0.168,0,0,9,820,24
Province 1,Malaysia,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,9,High,0.263,0.207,0,0,6,1465,24
Sudurpashchim,UK,Driving,Unskilled,Male,35-44,Recruitment Agency,3,Low,0.031,0.025,0,1,9,1354,36
Bagmati,UK,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,7,High,0.209,0.284,0,0,8,1408,36
Bagmati,Japan,Healthcare,Semi-skilled,Male,25-34,Recruitment Agency,2,Low,0.025,0.053,0,1,9,922,24
Bagmati,Bahrain,Cleaning,Skilled,Male,25-34,Recruitment Agency,0,Low,0.045,0.033,0,0,5,423,12
Bagmati,Malaysia,Construction,Unskilled,Male,18-24,Recruitment Agency,10,High,0.258,0.292,0,0,6,533,36
Sudurpashchim,Bahrain,Cleaning,Unskilled,Male,25-34,Recruitment Agency,3,Low,0.015,0.035,0,0,3,1117,12
Karnali,Qatar,Driving,Skilled,Female,25-34,Recruitment Agency,4,Medium,0.069,0.175,0,0,1,828,24
Lumbini,UK,Driving,Skilled,Male,35-44,Recruitment Agency,0,Low,0.014,0.048,0,0,5,591,12
Karnali,Malaysia,Construction,Unskilled,Male,35-44,Regularisation,10,High,0.182,0.244,0,1,4,1258,12
Gandaki,Saudi Arabia,Driving,Skilled,Male,45+,Recruitment Agency,4,Medium,0.071,0.169,0,0,3,884,36
Bagmati,Japan,Construction,Skilled,Male,25-34,Recruitment Agency,5,Medium,0.058,0.152,0,0,6,1290,12
Sudurpashchim,Qatar,Healthcare,Skilled,Female,25-34,Recruitment Agency,3,Low,0.031,0.044,0,0,3,330,24
Karnali,South Korea,Construction,Unskilled,Male,25-34,Recruitment Agency,10,High,0.215,0.293,1,0,2,665,12
Gandaki,South Korea,Domestic Work,Unskilled,Male,35-44,Recruitment Agency,5,Medium,0.081,0.195,0,1,6,923,12
Madhesh,Malaysia,Domestic Work,Skilled,Male,35-44,Recruitment Agency,7,High,0.201,0.229,0,0,9,533,24
Karnali,Malaysia,Construction,Semi-skilled,Male,35-44,Recruitment Agency,10,High,0.265,0.237,0,0,6,1456,12
Madhesh,Bahrain,Hospitality,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.113,0.18,0,0,6,1382,24
Gandaki,UK,Cleaning,Skilled,Male,18-24,Recruitment Agency,0,Low,0.037,0.032,0,0,8,934,24
Karnali,Oman,Cleaning,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.121,0.197,0,1,8,1469,24
Madhesh,Bahrain,Healthcare,Unskilled,Male,18-24,Recruitment Agency,4,Medium,0.138,0.195,1,0,6,801,12
Province 1,Malaysia,Manufacturing,Unskilled,Female,35-44,Recruitment Agency,8,High,0.227,0.214,0,0,9,612,12
Gandaki,Saudi Arabia,Domestic Work,Semi-skilled,Male,35-44,Recruitment Agency,8,High,0.167,0.258,0,0,9,658,24
Bagmati,Malaysia,Hospitality,Unskilled,Male,25-34,Regularisation,5,Medium,0.138,0.182,0,0,3,1097,12
Lumbini,South Korea,Construction,Skilled,Female,25-34,Recruitment Agency,4,Medium,0.091,0.198,0,0,2,950,12
Gandaki,UAE,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,9,High,0.189,0.271,0,0,5,445,24
Province 1,Malaysia,Healthcare,Semi-skilled,Female,25-34,Recruitment Agency,4,Medium,0.134,0.143,0,0,5,1349,36
Bagmati,Saudi Arabia,Driving,Unskilled,Male,25-34,Recruitment Agency,7,High,0.208,0.237,1,1,8,532,12
Madhesh,Oman,Manufacturing,Unskilled,Male,18-24,Recruitment Agency,6,Medium,0.09,0.186,0,0,2,1325,24
Karnali,Japan,Hospitality,Unskilled,Male,25-34,Individual,5,Medium,0.098,0.17,0,0,6,1201,12
Gandaki,Malaysia,Cleaning,Skilled,Male,18-24,Recruitment Agency,1,Low,0.05,0.03,0,0,2,1249,24
Province 1,UK,Construction,Unskilled,Female,18-24,Recruitment Agency,8,High,0.292,0.205,1,0,4,1465,12
Sudurpashchim,Saudi Arabia,Healthcare,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.141,0.15,0,0,7,320,24
Madhesh,Japan,Driving,Unskilled,Male,18-24,Recruitment Agency,4,Medium,0.15,0.194,1,0,1,1457,12
Karnali,Malaysia,Driving,Unskilled,Male,35-44,Recruitment Agency,8,High,0.251,0.339,0,1,6,533,12
Karnali,Malaysia,Healthcare,Unskilled,Male,35-44,Recruitment Agency,8,High,0.181,0.282,0,1,2,777,24
Lumbini,Saudi Arabia,Cleaning,Skilled,Male,25-34,Recruitment Agency,3,Low,0.04,0.045,0,0,1,1477,36
Lumbini,Oman,Driving,Unskilled,Male,25-34,Individual,3,Low,0.048,0.07,0,0,9,1083,36
Madhesh,Qatar,Manufacturing,Skilled,Male,35-44,Recruitment Agency,6,Medium,0.101,0.156,0,0,7,1337,24
Madhesh,South Korea,Construction,Unskilled,Female,18-24,Recruitment Agency,9,High,0.223,0.231,0,0,5,1333,24
Madhesh,South Korea,Hospitality,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.075,0.131,0,0,2,1491,24
Province 1,Malaysia,Domestic Work,Skilled,Female,35-44,Recruitment Agency,6,Medium,0.06,0.115,0,0,1,1158,12
Sudurpashchim,UAE,Driving,Skilled,Male,18-24,Recruitment Agency,5,Medium,0.085,0.104,0,0,9,1263,12
Bagmati,Saudi Arabia,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,8,High,0.279,0.225,0,0,7,885,24
Gandaki,Oman,Manufacturing,Unskilled,Male,35-44,Individual,4,Medium,0.129,0.18,0,0,2,1374,12
Sudurpashchim,UK,Driving,Unskilled,Male,25-34,Recruitment Agency,3,Low,0.025,0.07,0,0,1,1435,24
Karnali,Malaysia,Hospitality,Unskilled,Male,25-34,Recruitment Agency,7,High,0.227,0.246,0,0,8,1197,12
Province 1,UAE,Construction,Unskilled,Male,18-24,Recruitment Agency,10,High,0.217,0.299,0,0,6,600,12
Madhesh,Qatar,Construction,Unskilled,Male,25-34,Recruitment Agency,10,High,0.288,0.246,1,0,8,494,12
